"","Duration"
"1",3.13
"2",3.34
"3",2.32
"4",2.66
"5",2.03
"6",2.57
"7",2.16
"8",2.51
"9",2.06
"10",2.14
"11",2.28
"12",1.44
"13",2.03
"14",2.98
"15",2.57
"16",1.62
"17",1.97
"18",2.42
"19",2.9
"20",1.28
"21",1.45
"22",2
"23",1.78
"24",1.95
"25",1.96
"26",2.14
"27",2.3
"28",1.73
"29",2.47
"30",1.53
"31",1.98
"32",1.6
"33",2.64
"34",2.46
"35",2.25
"36",1.83
"37",2.91
"38",2.27
"39",1.66
"40",2.16
"41",1.99
"42",2.22
"43",1.74
"44",2.05
"45",1.51
"46",1.46
"47",1.4
"48",2
"49",1.89
"50",1.47
"51",2.51
"52",1.88
"53",2.26
"54",1.79
"55",1.46
"56",2.01
"57",1.64
"58",1.9
"59",1.91
"60",2.17
"61",2.53
"62",1.26
"63",2.78
"64",1.86
"65",1.86
"66",1.21
"67",1.65
"68",2.26
"69",2.79
"70",2.4
"71",1.63
"72",1.83
"73",2.14
"74",2.03
"75",1.67
"76",1.89
"77",1.29
"78",3.71
"79",2.89
"80",2.08
"81",1.88
"82",1.31
"83",2.64
"84",1.55
"85",2.11
"86",2.05
"87",2.29
"88",2.5
"89",2.58
"90",1.28
"91",2.45
"92",3.15
"93",1.59
"94",1.48
"95",2.11
"96",1.55
"97",1.96
"98",1.69
"99",2.22
"100",1.68
"101",2.07
"102",1.5
"103",1.71
"104",1.59
"105",1.61
"106",1.62
"107",2.89
"108",1.93
"109",1.64
"110",1.71
"111",2.14
"112",1.79
"113",2.12
"114",3.06
"115",2.34
"116",2.43
"117",2.06
"118",2.6
"119",1.46
"120",1.56
"121",1.42
"122",2.6
"123",1.3
"124",2.14
"125",2.63
"126",1.88
"127",2.58
"128",1.55
"129",1.89
"130",1.76
"131",1.62
"132",1.03
"133",1.98
"134",2.46
"135",1.81
"136",2
"137",1.3
"138",1.57
"139",2.35
"140",2.26
"141",1.79
"142",2.54
"143",2.77
"144",1.35
"145",2.42
"146",1.65
"147",2.64
"148",2.45
"149",1.87
"150",1.85
"151",2.53
"152",1.11
"153",2.18
"154",2
"155",1.4
"156",1.88
"157",2.48
"158",1.78
"159",1.68
"160",3.83
"161",1.89
"162",2.47
"163",1.39
"164",1.87
"165",3.39
"166",2.68
"167",2.11
"168",2.47
"169",1.93
"170",2.22
"171",1.98
"172",1.79
"173",2.91
"174",1.86
"175",1.38
"176",1.94
"177",1.01
"178",2.88
"179",1.82
"180",2.29
"181",3.48
"182",1.53
"183",1.73
"184",1.77
"185",1.87
"186",1.68
"187",1.85
"188",2.49
"189",1.92
"190",1.53
"191",1.32
"192",1.63
"193",2.25
"194",2.16
"195",1.7
"196",2.08
"197",2.77
"198",1.76
"199",2.07
"200",1.9
"201",2.04
"202",1.85
"203",1.82
"204",1.88
"205",1.98
"206",1.71
"207",2.03
"208",2.37
